"","ID_focal","biomass","biomass_next","growth","NB1","NB2","NB3","NB4","NB5","NB6","NB7","NB8","sp_NB1","sp_NB2","sp_NB3","sp_NB4","sp_NB5","sp_NB6","sp_NB7","sp_NB8","plot_richness","sp","plotID_1","plotID_2","year","spp","spy"
"75",18,7684.365947,8699.458123,1015.092176,5648.576051,2451.485279,0,651.3954137,4651.127924,5121.148041,5989.256328,2493.752266,"8","8","5","8","8","8","8","8",2,"Schima superba","A","C37",6,"Schima superba C37","Schima superba 6"
"76",19,362.0622701,1043.515186,681.4529159,323.3028708,0.03848451,628.7533271,958.1719363,868.3754794,757.0452897,137.2731476,52.04645133,"8","5","8","8","8","8","8","5",2,"Schima superba","A","C37",2,"Schima superba C37","Schima superba 2"
"77",19,1043.515186,2551.63132,1508.116134,846.1094414,0,1822.307522,2172.373621,2504.105699,1127.046364,371.1995924,162.9818999,"8","5","8","8","8","8","8","5",2,"Schima superba","A","C37",3,"Schima superba C37","Schima superba 3"
"78",19,2551.63132,3863.424774,1311.793454,1589.905064,0,3291.696144,4208.107989,3587.810808,3587.306111,1051.891614,285.2799,"8","5","8","8","8","8","8","5",2,"Schima superba","A","C37",4,"Schima superba C37","Schima superba 4"
"79",19,3863.424774,4651.127924,787.70315,2445.375038,0,4594.507863,5559.36236,5942.300827,4757.006508,1624.431167,277.7465572,"8","5","8","8","8","8","8","5",2,"Schima superba","A","C37",5,"Schima superba C37","Schima superba 5"
"80",19,4651.127924,5366.694059,715.566135,2451.485279,0,6255.773655,7684.365947,7918.957624,5989.256328,2493.752266,266.5114855,"8","5","8","8","8","8","8","5",2,"Schima superba","A","C37",6,"Schima superba C37","Schima superba 6"
"81",20,868.3754794,2504.105699,1635.7302196,0.03848451,628.7533271,538.7831401,362.0622701,4.433415553,137.2731476,52.04645133,0,"5","8","8","8","5","8","5","5",2,"Schima superba","A","C37",2,"Schima superba C37","Schima superba 2"
"82",20,2504.105699,3587.810808,1083.705109,0,1822.307522,1209.513172,1043.515186,3.96005608,371.1995924,162.9818999,0,"5","8","8","8","5","8","5","5",2,"Schima superba","A","C37",3,"Schima superba C37","Schima superba 3"
"83",20,3587.810808,5942.300827,2354.490019,0,3291.696144,2740.921781,2551.63132,4.679716417,1051.891614,285.2799,0,"5","8","8","8","5","8","5","5",2,"Schima superba","A","C37",4,"Schima superba C37","Schima superba 4"
"84",20,5942.300827,7918.957624,1976.656797,0,4594.507863,4411.616827,3863.424774,15.64010487,1624.431167,277.7465572,0,"5","8","8","8","5","8","5","5",2,"Schima superba","A","C37",5,"Schima superba C37","Schima superba 5"
"85",21,95.39320429,601.2819843,505.88878001,162.8664463,12.53495469,314.4074512,1.23150432,179.307029,11.545353,95.39320429,5.172318145,"8","8","8","5","8","5","8","5",2,"Schima superba","A","C37",1,"Schima superba C37","Schima superba 1"
"86",21,601.2819843,813.2766566,211.9946723,612.8757179,52.44888935,958.1719363,23.55252012,757.0452897,129.2752418,416.1077169,23.00604008,"8","8","8","5","8","5","8","5",2,"Schima superba","A","C37",2,"Schima superba C37","Schima superba 2"
"87",21,813.2766566,2607.026473,1793.7498164,1242.499894,147.4110671,2172.373621,33.25061665,1127.046364,266.6591698,993.0850838,96.7385128,"8","8","8","5","8","5","8","5",2,"Schima superba","A","C37",3,"Schima superba C37","Schima superba 3"
"88",21,2607.026473,3989.796909,1382.770436,3131.01177,261.6418893,4208.107989,102.1763741,3587.306111,554.1769441,1542.813768,261.9351962,"8","8","8","5","8","5","8","5",2,"Schima superba","A","C37",4,"Schima superba C37","Schima superba 4"
"89",21,3989.796909,5121.148041,1131.351132,5172.159809,429.6025852,5559.36236,292.1416881,4757.006508,1099.388922,1969.64162,730.1589115,"8","8","8","5","8","5","8","5",2,"Schima superba","A","C37",5,"Schima superba C37","Schima superba 5"
"90",21,5121.148041,5640.45472,519.306678999999,7295.962129,651.3954137,7684.365947,608.3804522,5989.256328,3436.589775,2651.165457,1315.146554,"8","8","8","5","8","5","8","5",2,"Schima superba","A","C37",6,"Schima superba C37","Schima superba 6"
"91",22,179.307029,757.0452897,577.7382607,12.53495469,314.4074512,67.36768455,95.39320429,10.33583983,95.39320429,5.172318145,9.351735932,"8","8","8","8","8","8","5","5",2,"Schima superba","A","C37",1,"Schima superba C37","Schima superba 1"
"92",22,757.0452897,1127.046364,370.0010743,52.44888935,958.1719363,362.0622701,601.2819843,137.2731476,416.1077169,23.00604008,21.5513256,"8","8","8","8","8","8","5","5",2,"Schima superba","A","C37",2,"Schima superba C37","Schima superba 2"
"93",22,1127.046364,3587.306111,2460.259747,147.4110671,2172.373621,1043.515186,813.2766566,371.1995924,993.0850838,96.7385128,76.63228055,"8","8","8","8","8","8","5","5",2,"Schima superba","A","C37",3,"Schima superba C37","Schima superba 3"
"94",22,3587.306111,4757.006508,1169.700397,261.6418893,4208.107989,2551.63132,2607.026473,1051.891614,1542.813768,261.9351962,117.2084237,"8","8","8","8","8","8","5","5",2,"Schima superba","A","C37",4,"Schima superba C37","Schima superba 4"
"95",22,4757.006508,5989.256328,1232.24982,429.6025852,5559.36236,3863.424774,3989.796909,1624.431167,1969.64162,730.1589115,212.3421324,"8","8","8","8","8","8","5","5",2,"Schima superba","A","C37",5,"Schima superba C37","Schima superba 5"
"96",22,5989.256328,6682.177627,692.921299,651.3954137,7684.365947,4651.127924,5121.148041,2493.752266,2651.165457,1315.146554,437.4919098,"8","8","8","8","8","8","5","5",2,"Schima superba","A","C37",6,"Schima superba C37","Schima superba 6"
"97",23,10.33583983,137.2731476,126.93730777,314.4074512,67.36768455,102.1796727,179.307029,10.91035859,5.172318145,9.351735932,63.51043708,"8","8","8","8","5","5","5","8",2,"Schima superba","A","C37",1,"Schima superba C37","Schima superba 1"
"98",23,137.2731476,371.1995924,233.9264448,958.1719363,362.0622701,868.3754794,757.0452897,52.04645133,23.00604008,21.5513256,267.1924552,"8","8","8","8","5","5","5","8",2,"Schima superba","A","C37",2,"Schima superba C37","Schima superba 2"
"99",23,371.1995924,1051.891614,680.6920216,2172.373621,1043.515186,2504.105699,1127.046364,162.9818999,96.7385128,76.63228055,865.0702097,"8","8","8","8","5","5","5","8",2,"Schima superba","A","C37",3,"Schima superba C37","Schima superba 3"
